n_samples,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20
500,-1.6907700169,-1.6419245737,-1.7526890538,-1.6318609519,-1.6432320271,-1.7005072632,-1.5552951744,-1.6586860346,-1.6457274354,-1.6930138622,-1.6270407346,-1.5477364288,-1.6856485365,-1.6891180645,-1.7056543170,-1.5705813067,-1.6222798987,-1.6836980820,-1.6222080894,-1.6314976994
1000,-1.6813419591,-1.6659173852,-1.6779852964,-1.6522962571,-1.6967864073,-1.6742034991,-1.6685772343,-1.6115148105,-1.6198311905,-1.6646876016,-1.6722604739,-1.6578073906,-1.6170211302,-1.6256748544,-1.6356602829,-1.6609184069,-1.6441578932,-1.6128858699,-1.6462428322,-1.7076531892
2000,-1.6573702582,-1.6437258873,-1.6612058005,-1.6736349743,-1.6667470739,-1.6149111976,-1.6687704207,-1.6195719799,-1.6794142706,-1.6556887636,-1.6481958182,-1.6377926669,-1.6474677260,-1.6670559945,-1.6381844174,-1.6684920724,-1.6496448258,-1.6403368234,-1.6781756133,-1.6666640828
4000,-1.6434091029,-1.6629422946,-1.6702086438,-1.6539891087,-1.6683917883,-1.6393439244,-1.6412424772,-1.6537125337,-1.6446400126,-1.6391854271,-1.6433381709,-1.6798894191,-1.6450206184,-1.6568290806,-1.6568350928,-1.6595410913,-1.6848600719,-1.6669170659,-1.6641452136,-1.6482127437
8000,-1.6480276359,-1.6571811215,-1.6585536538,-1.6648684779,-1.6575284234,-1.6666995913,-1.6561233458,-1.6416279440,-1.6407974694,-1.6625542371,-1.6631933139,-1.6506552219,-1.6530473124,-1.6632865276,-1.6440736031,-1.6518964937,-1.6504290693,-1.6534650353,-1.6515796640,-1.6521509643
16000,-1.6488192577,-1.6662541471,-1.6444970366,-1.6444038742,-1.6514228007,-1.6656450811,-1.6552485540,-1.6649184980,-1.6439962344,-1.6523458921,-1.6454557932,-1.6443782875,-1.6438207906,-1.6561276769,-1.6556748821,-1.6477670710,-1.6494343298,-1.6471384654,-1.6458697066,-1.6533375998
32000,-1.6535018160,-1.6494835663,-1.6539202569,-1.6426119288,-1.6581741467,-1.6536911480,-1.6452829540,-1.6491001321,-1.6477652538,-1.6550320629,-1.6564005964,-1.6619638108,-1.6492268037,-1.6537388666,-1.6611942234,-1.6556234247,-1.6496437386,-1.6470311229,-1.6543166138,-1.6505707234
64000,-1.6565336773,-1.6541182650,-1.6549183783,-1.6553961117,-1.6560208884,-1.6461351519,-1.6557650230,-1.6564310136,-1.6508802140,-1.6545844066,-1.6530865471,-1.6551583129,-1.6519990070,-1.6590345583,-1.6537735075,-1.6564836220,-1.6506626272,-1.6488105454,-1.6545438333,-1.6520083722
128000,-1.6552389098,-1.6478311241,-1.6557533055,-1.6557112365,-1.6565462565,-1.6532014023,-1.6544857517,-1.6520403429,-1.6547911635,-1.6504032247,-1.6515346083,-1.6507350258,-1.6562992817,-1.6545359628,-1.6512215476,-1.6545455032,-1.6500941475,-1.6558063042,-1.6501544169,-1.6555483121
