n_samples,mean_energy,std_energy,sem_energy,mean_abs_error,std_abs_error,sem_abs_error,rel_error_percent
500,-2.1636857802e+00,4.0065903473e-02,8.0131806946e-03,3.3220295173e-02,2.1524611809e-02,4.3049223619e-03,3.9823234098e+00
1000,-2.1731175605e+00,2.2411230175e-02,4.4822460350e-03,2.0349493497e-02,1.0866866155e-02,2.1733732310e-03,9.9203448169e+00
2000,-2.1688093857e+00,1.9082969501e-02,3.8165939002e-03,1.4711861636e-02,1.2033817025e-02,2.4067634050e-03,3.5699927125e+00
4000,-2.1625704492e+00,1.7853222774e-02,3.5706445548e-03,1.3710235356e-02,1.1752082782e-02,2.3504165565e-03,5.6263477960e+00
8000,-2.1657326722e+00,7.7342825580e-03,1.5468565116e-03,6.1618266215e-03,4.5514405367e-03,9.1028810734e-04,9.6515606051e-01
16000,-2.1675671155e+00,5.9352757761e-03,1.1870551552e-03,4.4510608280e-03,4.0049539686e-03,8.0099079373e-04,1.7388570021e+00
