n_samples,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25
500,-2.2034751390,-2.1859720755,-2.1466648084,-2.2332709689,-2.1320634747,-2.1420434366,-2.2009702662,-2.2158702849,-2.1521260103,-2.1590476503,-2.1704172408,-2.1769013081,-2.0854387726,-2.1480149725,-2.2094535348,-2.2193108206,-2.1617533659,-2.1015274065,-2.1152096285,-2.1809610472,-2.1205164087,-2.1540124143,-2.1145209167,-2.2151420838,-2.1474604703
1000,-2.1466579792,-2.1797330613,-2.1965199345,-2.1524051529,-2.1931588510,-2.2058003017,-2.1862646435,-2.1470213655,-2.1775990419,-2.1785702678,-2.1927641233,-2.1264551046,-2.1792229748,-2.1831979960,-2.1384856254,-2.1644773187,-2.1563292981,-2.1935200076,-2.1594493348,-2.1431672546,-2.1757496654,-2.1591837825,-2.1900981617,-2.2097645226,-2.1923432436
2000,-2.1794481619,-2.1757324734,-2.2070245288,-2.2023771051,-2.1583131166,-2.1573571734,-2.1305519205,-2.1924773069,-2.1657951170,-2.1662799333,-2.1687524822,-2.1584250852,-2.1543203831,-2.1983408968,-2.1752796665,-2.1963715853,-2.1565692129,-2.1483347390,-2.1621125861,-2.1550630918,-2.1653685428,-2.1497807784,-2.1633363449,-2.1505796468,-2.1822427627
4000,-2.1891190600,-2.1705692401,-2.1777401439,-2.1729063210,-2.1476049701,-2.1636947606,-2.1663968400,-2.1914930122,-2.1491276441,-2.1556349217,-2.1736531809,-2.1396761959,-2.1773382000,-2.1447826746,-2.1667584871,-2.1194225762,-2.1627694474,-2.1739557532,-2.1630413107,-2.1750883505,-2.1598635418,-2.1642651690,-2.1315411234,-2.1852962442,-2.1425220624
8000,-2.1499850580,-2.1723158937,-2.1718199381,-2.1674910779,-2.1614422401,-2.1548876365,-2.1613464549,-2.1747804933,-2.1700490723,-2.1672048564,-2.1502963469,-2.1784669309,-2.1674851687,-2.1598206328,-2.1572908227,-2.1655025310,-2.1743246093,-2.1629930204,-2.1674359651,-2.1709431697,-2.1739293296,-2.1698429022,-2.1704731833,-2.1680872661,-2.1551022045
16000,-2.1716293217,-2.1580866934,-2.1715177500,-2.1673687540,-2.1653040386,-2.1701234754,-2.1728002711,-2.1680137814,-2.1553557199,-2.1679398689,-2.1725880468,-2.1534312544,-2.1624197683,-2.1694491439,-2.1666971762,-2.1706725189,-2.1663065301,-2.1659806150,-2.1667246610,-2.1698407244,-2.1650648422,-2.1785853272,-2.1783273331,-2.1646451513,-2.1703051203
