n_samples,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20
500,-2.2126868667,-2.1488196485,-2.2776208763,-2.2812952030,-2.2493342356,-2.1485717256,-2.2118156087,-2.1360982642,-2.2264769159,-2.1342145305,-2.1382064590,-2.1958503931,-2.2521525467,-2.3130832480,-2.1506899812,-2.1423388244,-2.2642102925,-2.1842432644,-2.1700411241,-2.2597683485
1000,-2.2530077018,-2.2143062025,-2.2086924525,-2.1240904380,-2.2649200883,-2.2144045559,-2.1878689704,-2.2321121860,-2.2555445140,-2.1947496899,-2.2422810846,-2.2201818089,-2.2312256466,-2.2008718591,-2.2073335382,-2.2151298486,-2.1508444139,-2.1702414224,-2.2317274334,-2.2434485072
2000,-2.2183773846,-2.1951613901,-2.1837981281,-2.2122835129,-2.2535070756,-2.2656300718,-2.2449855738,-2.2111309288,-2.2394919016,-2.1852558875,-2.2107341867,-2.1965687678,-2.2327092140,-2.2127538118,-2.2044860625,-2.2267085001,-2.2177850297,-2.2539528948,-2.2162877870,-2.2766366838
4000,-2.2460171824,-2.2427401997,-2.2394714378,-2.2262882515,-2.2361957980,-2.2436120789,-2.2460075289,-2.2503882348,-2.2279369034,-2.1926123346,-2.2260943648,-2.2066833104,-2.2317737750,-2.2271934103,-2.2246472462,-2.2037213829,-2.2031793284,-2.2360384548,-2.2309788995,-2.2416439626
8000,-2.2509598090,-2.2161359133,-2.2468218100,-2.2513261303,-2.2177668143,-2.2445600649,-2.2379406918,-2.2052767840,-2.2368948681,-2.2514653701,-2.2106163361,-2.2437614758,-2.2280422193,-2.2195848019,-2.2201817948,-2.2282855919,-2.2180991716,-2.2095712365,-2.2042792642,-2.2366769505
16000,-2.2233907354,-2.2376829972,-2.2145642902,-2.2166693532,-2.2241384757,-2.2214273849,-2.2084381255,-2.2211145504,-2.2388652529,-2.2314925318,-2.2279756518,-2.2123864762,-2.2228883836,-2.2110321884,-2.2128587485,-2.2091877478,-2.2339043825,-2.2336161427,-2.2188456732,-2.2229661902
