n_samples,mean_energy,std_energy,sem_energy,mean_abs_error,std_abs_error,sem_abs_error,rel_error_percent
500,-2.2048759178e+00,5.7678792493e-02,1.2897370087e-02,5.2539485992e-02,2.9188445923e-02,6.5267349242e-03,5.2802943232e+01
1000,-2.2131491181e+00,3.5360755453e-02,7.9069052929e-03,2.7298835269e-02,2.4828017679e-02,5.5517135276e-03,3.1209095735e+01
2000,-2.2229122397e+00,2.5984545999e-02,5.8103211217e-03,2.1471189099e-02,1.3963796730e-02,3.1223998711e-03,5.7264105493e+00
4000,-2.2291612042e+00,1.6201823232e-02,3.6228378106e-03,1.3523751029e-02,9.3429091521e-03,2.0891379972e-03,1.0583987364e+01
8000,-2.2289123549e+00,1.6111022831e-02,3.6025342236e-03,1.4250524651e-02,7.8133673181e-03,1.7471220457e-03,9.9344667363e+00
16000,-2.2221722641e+00,9.4021722564e-03,2.1023896301e-03,8.2239061595e-03,5.1253822191e-03,1.1460703053e-03,7.6578178311e+00
