n_samples,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20
500,-2.1033598746,-2.2162061075,-2.1461807133,-2.1080933675,-2.1412897414,-2.0969812837,-2.0891960009,-2.1610916586,-2.1322745798,-2.0730696218,-2.1765791943,-2.1069968319,-2.1315782796,-2.0928829358,-2.1373328171,-2.1497054303,-2.1212332915,-2.1340917389,-2.1636329813,-2.2026602102
1000,-2.1487732112,-2.2005085249,-2.1522362644,-2.1322084215,-2.1578395980,-2.1835654946,-2.1294825082,-2.1627280839,-2.1692547141,-2.1329214058,-2.1388498148,-2.1489467013,-2.1515591346,-2.2120136478,-2.1497714858,-2.1466343812,-2.1152708808,-2.1430680811,-2.1355220026,-2.1430048256
2000,-2.1327504356,-2.1377344825,-2.1632962216,-2.1328640436,-2.1177986620,-2.1659017666,-2.1277031256,-2.1461145323,-2.1549564204,-2.1582241083,-2.1302485986,-2.1406974425,-2.1476864277,-2.1517543954,-2.1709219802,-2.1094304453,-2.1167844615,-2.1070556413,-2.1259337469,-2.1644447854
4000,-2.1408147572,-2.1443003192,-2.1266220979,-2.1616559871,-2.1167690512,-2.1365806177,-2.1516676849,-2.1430478271,-2.1322502808,-2.1518589165,-2.1253464042,-2.1491906537,-2.1568146027,-2.1555528904,-2.1389963597,-2.1454556620,-2.1504827451,-2.1503944690,-2.1276397564,-2.1297159074
8000,-2.1488010849,-2.1451205039,-2.1435578155,-2.1530594779,-2.1406536128,-2.1313196409,-2.1524914732,-2.1678764890,-2.1686375332,-2.1539120463,-2.1383266303,-2.1380872908,-2.1459672017,-2.1429789946,-2.1422827469,-2.1392351592,-2.1495990184,-2.1455558499,-2.1294781536,-2.1389363482
16000,-2.1383972411,-2.1477030209,-2.1436693687,-2.1335403769,-2.1387389432,-2.1461803636,-2.1422140142,-2.1454046383,-2.1346196336,-2.1424873535,-2.1395000417,-2.1396693719,-2.1485039942,-2.1542632563,-2.1488903919,-2.1493395378,-2.1382098572,-2.1499929961,-2.1504922312,-2.1435443752
