n_samples,mean_energy,std_energy,sem_energy,mean_abs_error,std_abs_error,sem_abs_error,rel_error_percent
500,-2.1342218330e+00,3.7449833628e-02,8.3740373739e-03,3.0916990710e-02,2.2828225756e-02,5.1045464596e-03,2.6037446106e+01
1000,-2.1527079591e+00,2.3685037800e-02,5.2961354570e-03,1.6653035645e-02,1.8160904138e-02,4.0609016185e-03,1.8166771565e+01
2000,-2.1401150862e+00,1.9415759502e-02,4.3414958080e-03,1.6726042336e-02,1.0428617958e-02,2.3319098666e-03,1.1945437653e+01
4000,-2.1417578495e+00,1.2212705091e-02,2.7308438772e-03,1.0060576344e-02,7.3783975734e-03,1.6498598539e-03,8.0172447842e+00
8000,-2.1457938536e+00,1.0077756349e-02,2.2534548258e-03,7.3082142884e-03,6.7698938229e-03,1.5137942789e-03,1.6336902170e+00
16000,-2.1437680504e+00,5.6673789254e-03,1.2672644531e-03,4.8200573773e-03,3.0920675674e-03,6.9140732718e-04,3.2104314900e+00
